"Table 2. 4: Distribution of Population, Land Area and Population Density by County",""
"National/ County
 Population","Land Area             
 Population Density"
"","(Sq. Km) 
(No. per Sq. Km)"
"Kenya……………………
              
47,564,296","580,876.3
                                
82"
"County",""
"Mombasa…………..…
                
1,208,333","219.9
                          
5,495"
"Kwale……………..……
                   
866,820","8,267.1
                              
105"
"Kilifi………………..……
                
1,453,787","12,539.7
                              
116"
"Tana River………….…
                   
315,943","37,950.5
                                  
8"
"Lamu……………….….
                   
143,920","6,253.3
                                
23"
"Taita/Taveta……..….…
                   
340,671","17,152.0
                                
20"
"Garissa………………..
                   
841,353","44,736.0
                                
19"
"Wajir……………….……
                   
781,263","56,773.1
                                
14"
"Mandera…………....…
                   
867,457","25,939.8
                                
33"
"Marsabit…….…........…
                   
459,785","70,944.1
                                  
6"
"Isiolo……….…….……
                   
268,002","25,350.6
                                
11"
"Meru……………………
                
1,545,714","7,006.3
                              
221"
"Tharaka-Nithi…………
                   
393,177","2,564.4
                              
153"
"Embu…………………..
                   
608,599","2,820.7
                              
216"
"Kitui…………………….
                
1,136,187","30,429.5
                                
37"
"Machakos………….…..
                
1,421,932","6,042.7
                              
235"
"Makueni……………….
                   
987,653","8,169.8
                              
121"
"Nyandarua…………….
                   
638,289","3,285.7
                              
194"
"Nyeri……………………
                   
759,164","3,325.0
                              
228"
"Kirinyaga………………
                   
610,411","1,478.3
                              
413"
"Murang'a……………….
                
1,056,640","2,524.2
                              
419"
"Kiambu………………..
                
2,417,735","2,538.6
                              
952"
"Turkana……………….
                   
926,976","68,232.9
                                
14"
"West Pokot……………
                   
621,241","9,123.2
                                
68"
"Samburu………………
                   
310,327","21,065.1
                                
15"
"Trans Nzoia…………..
                   
990,341","2,495.2
                              
397"
"Uasin Gishu…………..
                
1,163,186","3,392.2
                              
343"
"Elgeyo/Marakwet……..
                   
454,480","3,032.0
                              
150"
"Nandi…………………..
                   
885,711","2,855.8
                              
310"
"Baringo………………..
                   
666,763","10,976.4
                                
61"
"Laikipia…………………………..
                   
518,560","9,532.2
                                
54"
"Nakuru……………………………2,162,202","7,462.4
                              
290"
"Narok…………………………….. 1,157,873","17,950.3
                                
65"
"Kajiado……………………………1,117,840","21,871.1
                                
51"
"Kericho………..………
                   
901,777","2,436.1
                              
370"
"Bomet………………….
                   
875,689","2,530.9
                              
346"
"Kakamega…………….
                
1,867,579","3,020.0
                              
618"
"Vihiga………………….
                   
590,013","563.8
                          
1,047"
"Bungoma…………..…
                
1,670,570","3,023.9
                              
552"
"Busia…………...……..
                   
893,681","1,696.3
                              
527"
"Siaya…………….……..
                   
993,183","2,529.8
                              
393"
"Kisumu………………..
                
1,155,574","2,085.4
                              
554"
"Homa Bay……………..
                
1,131,950","3,152.5
                              
359"
"Migori…………………..
                
1,116,436","2,613.5
                              
427"
"Kisii……………………
                
1,266,860","1,323.0
                              
958"
"Nyamira………………..
                   
605,576","897.3
                              
675"
"Nairobi City……..…….
                
4,397,073","703.9
                          
6,247"
