No.,County,Enrolment,Teachers,PTR
1,Baringo,"161,919","6,478",25
2,Bomet,"231,197","7,730",30
3,Bungoma,"500,157","11,273",44
4,Busia,"250,860","5,911",42
5,Elgeyo Marakwet,"123,818","4,604",27
6,Embu,"124,774","4,814",26
7,Garissa,"77,465","1,711",45
8,Homa Bay,"313,666","8,577",37
9,Isiolo,"35,221","1,292",27
10,Kajiado,"191,184","6,432",30
11,Kakamega,"555,021","12,489",44
12,Kericho,"222,619","7,648",29
13,Kiambu,"347,510","10,356",34
14,Kilifi,"353,254","7,932",45
15,Kirinyaga,"108,014","4,359",25
16,Kisii,"309,794","9,689",32
17,Kisumu,"287,164","7,728",37
18,Kitui,"335,078","11,268",30
19,Kwale,"203,634","4,744",43
20,Laikipia,"97,710","3,494",28
21,Lamu,"32,359","1,285",25
22,Machakos,"284,390","10,560",27
23,Makueni,"255,093","9,341",27
24,Mandera,"102,503","1,703",60
25,Marsabit,"64,787","1,811",36
26,Meru,"317,333","12,110",26
27,Migori,"277,454","8,234",34
28,Mombasa,"155,337","4,494",35
29,Murang'a,"206,420","7,212",29
30,Nairobi,"414,045",,
31,Nakuru,"478,057","13,402",36
32,Nandi,"231,836","7,743",30
33,Narok,"297,685","6,868",43
34,Nyamira,"162,596","5,599",29
35,Nyandarua,"138,635","4,873",28
36,Nyeri,"124,881","4,981",25
37,Samburu,"56,468","1,429",40
38,Siaya,"269,526","7,020",38
39,Taita Taveta,"67,177","2,555",26
40,Tana River,"59,674","1,637",36
41,Tharaka Nithi,"98,983","4,628",21
42,Trans Nzoia,"274,605","7,293",38
43,Turkana,"162,543","2,343",69
44,Uasin Gishu,"231,196","8,213",28
45,Vihiga,"169,354","4,793",35
46,Wajir,"76,959","1,764",44
47,West Pokot,"195,379","3,987",49
"",Grand Total,"10,072,040","286,680",35
